Tanggal,Judul Berita,URL,Label,Judul Bersih,Tokenisasi,Jumlah Kata
3 jam yang lalu,Ngerinya Pagar Besi Jatuh dari Layang Tomang Saat Truk Trailer Celaka,https://news.detik.com/berita/d-8545952/ngerinya-pagar-besi-jatuh-dari-layang-tomang-saat-truk-trailer-celaka,News,ngeri pagar besi jatuh layang tomang truk trailer celaka,"['ngeri', 'pagar', 'besi', 'jatuh', 'layang', 'tomang', 'truk', 'trailer', 'celaka']",9
3 jam yang lalu,Aset Mewah Kasus Taspen dan Kemnaker Bakal Dilelang Desember,https://news.detik.com/foto-news/d-8545934/aset-mewah-kasus-taspen-dan-kemnaker-bakal-dilelang-desember,News,aset mewah kasus taspen kemnaker bakal lelang desember,"['aset', 'mewah', 'kasus', 'taspen', 'kemnaker', 'bakal', 'lelang', 'desember']",8
4 jam yang lalu,"Polisi Tangkap Pengedar Obat Keras di Serang, Sita Ribuan Butir Hexymer",https://news.detik.com/berita/d-8545947/polisi-tangkap-pengedar-obat-keras-di-serang-sita-ribuan-butir-hexymer,News,polisi tangkap edar obat keras serang sita ribu butir hexymer,"['polisi', 'tangkap', 'edar', 'obat', 'keras', 'serang', 'sita', 'ribu', 'butir', 'hexymer']",10
4 jam yang lalu,"Pria Tewas Usai Tabrakkan Diri ke KA di Tangerang, Sempat Teriak 'Tolong'",https://news.detik.com/berita/d-8545945/pria-tewas-usai-tabrakkan-diri-ke-ka-di-tangerang-sempat-teriak-tolong,News,pria tewas usai tabrak diri ka tangerang sempat teriak,"['pria', 'tewas', 'usai', 'tabrak', 'diri', 'ka', 'tangerang', 'sempat', 'teriak']",9
4 jam yang lalu,"Antropolog UI: Ketahanan Pangan Polri Bukan Intervensi, tapi Akselerasi",https://news.detik.com/berita/d-8545944/antropolog-ui-ketahanan-pangan-polri-bukan-intervensi-tapi-akselerasi,News,antropolog ui tahan pangan polri bukan intervensi akselerasi,"['antropolog', 'ui', 'tahan', 'pangan', 'polri', 'bukan', 'intervensi', 'akselerasi']",8
4 jam yang lalu,"Usut Eksportir Sawit Manipulasi Harga, Kejagung Tunggu Audit BPKP",https://news.detik.com/berita/d-8545933/usut-eksportir-sawit-manipulasi-harga-kejagung-tunggu-audit-bpkp,News,usut eksportir sawit manipulasi harga jagung tunggu audit bpkp,"['usut', 'eksportir', 'sawit', 'manipulasi', 'harga', 'jagung', 'tunggu', 'audit', 'bpkp']",9
4 jam yang lalu,Daftar Barang Rampasan Kasus Noel dkk Dilelang KPK: Velg Porsche hingga Ducati,https://news.detik.com/berita/d-8545932/daftar-barang-rampasan-kasus-noel-dkk-dilelang-kpk-velg-porsche-hingga-ducati,News,daftar barang rampas kasus noel dkk lelang kpk velg porsche hingga ducati,"['daftar', 'barang', 'rampas', 'kasus', 'noel', 'dkk', 'lelang', 'kpk', 'velg', 'porsche', 'hingga', 'ducati']",12
4 jam yang lalu,Koalisi Sipil Kritik Latihan Militer soal 2 SPPI Kopdes Meninggal,https://news.detik.com/berita/d-8545914/koalisi-sipil-kritik-latihan-militer-soal-2-sppi-kopdes-meninggal,News,koalisi sipil kritik latih militer soal sppi kopdes tinggal,"['koalisi', 'sipil', 'kritik', 'latih', 'militer', 'soal', 'sppi', 'kopdes', 'tinggal']",9
4 jam yang lalu,Mendagri Hadiri Puncak PENAS Petani-Nelayan XVII Tahun 2026 di Gorontalo,https://news.detik.com/berita/d-8545912/mendagri-hadiri-puncak-penas-petani-nelayan-xvii-tahun-2026-di-gorontalo,News,mendagri hadir puncak nas tani nelayan xvii tahun gorontalo,"['mendagri', 'hadir', 'puncak', 'nas', 'tani', 'nelayan', 'xvii', 'tahun', 'gorontalo']",9
4 jam yang lalu,Puluhan Bangkai Kapal Teronggok di Karangantu hingga Nyaris Tenggelam,https://news.detik.com/berita/d-8545908/puluhan-bangkai-kapal-teronggok-di-karangantu-hingga-nyaris-tenggelam,News,puluh bangkai kapal onggok karangantu hingga nyaris tenggelam,"['puluh', 'bangkai', 'kapal', 'onggok', 'karangantu', 'hingga', 'nyaris', 'tenggelam']",8
4 jam yang lalu,Jaksa Agung Ungkap Cara Lihai Benny Tjokro Jaga Aset agar Tak Mudah Dilelang,https://news.detik.com/berita/d-8545905/jaksa-agung-ungkap-cara-lihai-benny-tjokro-jaga-aset-agar-tak-mudah-dilelang,News,jaksa agung ungkap cara lihai benny tjokro jaga aset tak mudah lelang,"['jaksa', 'agung', 'ungkap', 'cara', 'lihai', 'benny', 'tjokro', 'jaga', 'aset', 'tak', 'mudah', 'lelang']",12
4 jam yang lalu,Video: Istana Respons 2 SPPI Kopdes-Kampung Nelayan Wafat saat Latihan Militer,https://20.detik.com/detikupdate/20260624-260624102/video-istana-respons-2-sppi-kopdes-kampung-nelayan-wafat-saat-latihan-militer,News,video istana respons sppi kopdes kampung nelayan wafat latih militer,"['video', 'istana', 'respons', 'sppi', 'kopdes', 'kampung', 'nelayan', 'wafat', 'latih', 'militer']",10
5 jam yang lalu,"Bentuk Karakter, 1.000 Taruna TNI Akan Bina Siswa Sekolah Rakyat",https://news.detik.com/berita/d-8545886/bentuk-karakter-1-000-taruna-tni-akan-bina-siswa-sekolah-rakyat,News,bentuk karakter taruna tni bina siswa sekolah rakyat,"['bentuk', 'karakter', 'taruna', 'tni', 'bina', 'siswa', 'sekolah', 'rakyat']",8
5 jam yang lalu,"Dukung Gelaran Drag Konten Kreator, Bamsoet Dorong Sinergi Otomotif-Ekraf",https://news.detik.com/berita/d-8545873/dukung-gelaran-drag-konten-kreator-bamsoet-dorong-sinergi-otomotif-ekraf,News,dukung gelar drag konten kreator bamsoet dorong sinergi otomotif ekraf,"['dukung', 'gelar', 'drag', 'konten', 'kreator', 'bamsoet', 'dorong', 'sinergi', 'otomotif', 'ekraf']",10
5 jam yang lalu,"Menkes Usul Penderita TBC Dapat MBG, Anggota DPR Tanya Anggaran-Pengawasan",https://news.detik.com/berita/d-8545870/menkes-usul-penderita-tbc-dapat-mbg-anggota-dpr-tanya-anggaran-pengawasan,News,menkes usul derita tbc mbg anggota dpr tanya anggar awas,"['menkes', 'usul', 'derita', 'tbc', 'mbg', 'anggota', 'dpr', 'tanya', 'anggar', 'awas']",10
5 jam yang lalu,Video: Ini Kasus yang Bikin Kantor Bea Cukai Juanda Digeledah Polisi,https://20.detik.com/detikupdate/20260624-260624101/video-ini-kasus-yang-bikin-kantor-bea-cukai-juanda-digeledah-polisi,News,video kasus bikin kantor bea cukai juanda geledah polisi,"['video', 'kasus', 'bikin', 'kantor', 'bea', 'cukai', 'juanda', 'geledah', 'polisi']",9
5 jam yang lalu,"Video: Perabot Eks Hotel Sultan Mulai Diangkut, Ada Kasur hingga Gamelan",https://20.detik.com/detikupdate/20260624-260624100/video-perabot-eks-hotel-sultan-mulai-diangkut-ada-kasur-hingga-gamelan,News,video perabot eks hotel sultan mulai angkut kasur hingga gamelan,"['video', 'perabot', 'eks', 'hotel', 'sultan', 'mulai', 'angkut', 'kasur', 'hingga', 'gamelan']",10
5 jam yang lalu,Bima Arya Tegaskan ASN Harus Punya Empati dan Jiwa Melayani,https://news.detik.com/berita/d-8545866/bima-arya-tegaskan-asn-harus-punya-empati-dan-jiwa-melayani,News,bima arya tegas asn punya empati jiwa layan,"['bima', 'arya', 'tegas', 'asn', 'punya', 'empati', 'jiwa', 'layan']",8
5 jam yang lalu,Gerindra: Jangan Ada Upaya Bikin Retak Prabowo-Gibran,https://news.detik.com/berita/d-8545862/gerindra-jangan-ada-upaya-bikin-retak-prabowo-gibran,News,gerindra jangan upaya bikin retak prabowo gibran,"['gerindra', 'jangan', 'upaya', 'bikin', 'retak', 'prabowo', 'gibran']",7
5 jam yang lalu,"Deretan Aset Mewah Noel Dipamerkan KPK, dari Ducati Scrambler hingga Velg Porsche",https://news.detik.com/foto-news/d-8545722/deretan-aset-mewah-noel-dipamerkan-kpk-dari-ducati-scrambler-hingga-velg-porsche,News,deret aset mewah noel pamer kpk ducati scrambler hingga velg porsche,"['deret', 'aset', 'mewah', 'noel', 'pamer', 'kpk', 'ducati', 'scrambler', 'hingga', 'velg', 'porsche']",11
5 jam yang lalu,"5 Desain Logo HUT Ke-81 RI, Kamu Pilih Mana?",https://news.detik.com/berita/d-8545845/5-desain-logo-hut-ke-81-ri-kamu-pilih-mana,News,desain logo hut ri kamu pilih mana,"['desain', 'logo', 'hut', 'ri', 'kamu', 'pilih', 'mana']",7
5 jam yang lalu,"Massa Demo Bubar, Jalan Medan Merdeka Selatan Arah Gambir Dibuka Lagi",https://news.detik.com/berita/d-8545843/massa-demo-bubar-jalan-medan-merdeka-selatan-arah-gambir-dibuka-lagi,News,massa demo bubar jalan medan merdeka selatan arah gambir buka,"['massa', 'demo', 'bubar', 'jalan', 'medan', 'merdeka', 'selatan', 'arah', 'gambir', 'buka']",10
5 jam yang lalu,"Puncak PENAS XVII, BULOG Tegaskan Dukung Swasembada Pangan Berkelanjutan",https://news.detik.com/berita/d-8545842/puncak-penas-xvii-bulog-tegaskan-dukung-swasembada-pangan-berkelanjutan,News,puncak nas xvii bulog tegas dukung swasembada pangan lanjut,"['puncak', 'nas', 'xvii', 'bulog', 'tegas', 'dukung', 'swasembada', 'pangan', 'lanjut']",9
5 jam yang lalu,"Menkum Teken Kerja Sama Hukum dengan Jaksa Agung Rusia, Saling Tukar Informasi",https://news.detik.com/berita/d-8545839/menkum-teken-kerja-sama-hukum-dengan-jaksa-agung-rusia-saling-tukar-informasi,News,menkum teken kerja sama hukum jaksa agung rusia saling tukar informasi,"['menkum', 'teken', 'kerja', 'sama', 'hukum', 'jaksa', 'agung', 'rusia', 'saling', 'tukar', 'informasi']",11
5 jam yang lalu,Rumah Sitaan Kasus Benny Tjokro Direvitalisasi Jadi Kantor Adhyaksa Chambers,https://news.detik.com/berita/d-8545837/rumah-sitaan-kasus-benny-tjokro-direvitalisasi-jadi-kantor-adhyaksa-chambers,News,rumah sita kasus benny tjokro revitalisasi jadi kantor adhyaksa chambers,"['rumah', 'sita', 'kasus', 'benny', 'tjokro', 'revitalisasi', 'jadi', 'kantor', 'adhyaksa', 'chambers']",10
5 jam yang lalu,Hilman Latief Ngaku Dicecar KPK soal Kebijakan Pembagian Kuota Haji,https://news.detik.com/berita/d-8545829/hilman-latief-ngaku-dicecar-kpk-soal-kebijakan-pembagian-kuota-haji,News,hilman latief ngaku cecar kpk soal bijak bagi kuota haji,"['hilman', 'latief', 'ngaku', 'cecar', 'kpk', 'soal', 'bijak', 'bagi', 'kuota', 'haji']",10
5 jam yang lalu,"Tanaman Hias di Pembatas Jalan Sleman Kerap Dicuri, Pelaku Sulit Dicari",https://news.detik.com/berita/d-8545825/tanaman-hias-di-pembatas-jalan-sleman-kerap-dicuri-pelaku-sulit-dicari,News,tanam hias batas jalan sleman kerap curi laku sulit cari,"['tanam', 'hias', 'batas', 'jalan', 'sleman', 'kerap', 'curi', 'laku', 'sulit', 'cari']",10
5 jam yang lalu,Bakom Bantah Ada Pengondisian dari Pemerintah Terkait Demo MBG,https://news.detik.com/berita/d-8545822/bakom-bantah-ada-pengondisian-dari-pemerintah-terkait-demo-mbg,News,bakom bantah kondisi perintah kait demo mbg,"['bakom', 'bantah', 'kondisi', 'perintah', 'kait', 'demo', 'mbg']",7
5 jam yang lalu,Respons Pemkab Pandeglang soal Warga Petisi Jalan Rusak Pakai Darah,https://news.detik.com/berita/d-8545820/respons-pemkab-pandeglang-soal-warga-petisi-jalan-rusak-pakai-darah,News,respons pemkab pandeglang soal warga petisi jalan rusak pakai darah,"['respons', 'pemkab', 'pandeglang', 'soal', 'warga', 'petisi', 'jalan', 'rusak', 'pakai', 'darah']",10
5 jam yang lalu,PBB Pastikan Inspeksi Situs Nuklir Iran Akan Dilakukan,https://news.detik.com/internasional/d-8545818/pbb-pastikan-inspeksi-situs-nuklir-iran-akan-dilakukan,News,pbb pasti inspeksi situs nuklir iran laku,"['pbb', 'pasti', 'inspeksi', 'situs', 'nuklir', 'iran', 'laku']",7
5 jam yang lalu,KPK Serahkan Duit Rp 153 M ke PT Taspen Hasil dari Rampasan ANS Kosasih,https://news.detik.com/berita/d-8545857/kpk-serahkan-duit-rp-153-m-ke-pt-taspen-hasil-dari-rampasan-ans-kosasih,News,kpk serah duit rp m pt taspen hasil rampas ans kosasih,"['kpk', 'serah', 'duit', 'rp', 'm', 'pt', 'taspen', 'hasil', 'rampas', 'ans', 'kosasih']",11
5 jam yang lalu,Rusia Sebut Senjata Nuklir Satu-satunya Pencegah Perang Global,https://news.detik.com/internasional/d-8545804/rusia-sebut-senjata-nuklir-satu-satunya-pencegah-perang-global,News,rusia sebut senjata nuklir satu satu cegah perang global,"['rusia', 'sebut', 'senjata', 'nuklir', 'satu', 'satu', 'cegah', 'perang', 'global']",9
5 jam yang lalu,Kejagung Dorong Tersangka dan Saksi Buka-bukaan soal Kasus MBG,https://news.detik.com/berita/d-8545801/kejagung-dorong-tersangka-dan-saksi-buka-bukaan-soal-kasus-mbg,News,jagung dorong sangka saksi buka buka soal kasus mbg,"['jagung', 'dorong', 'sangka', 'saksi', 'buka', 'buka', 'soal', 'kasus', 'mbg']",9
6 jam yang lalu,Video: Petuah Mantan Atasan Ini Bikin Taufik Hidayat Akhiri Pelarian,https://20.detik.com/detikupdate/20260624-260624098/video-petuah-mantan-atasan-ini-bikin-taufik-hidayat-akhiri-pelarian,News,video petuah mantan atas bikin taufik hidayat akhir lari,"['video', 'petuah', 'mantan', 'atas', 'bikin', 'taufik', 'hidayat', 'akhir', 'lari']",9
6 jam yang lalu,"Edukasi Deteksi Dini Buta Warna, Gen Z Ini Gagas Nayan Project",https://news.detik.com/berita/d-8545783/edukasi-deteksi-dini-buta-warna-gen-z-ini-gagas-nayan-project,News,edukasi deteksi dini buta warna gen z gagas nayan project,"['edukasi', 'deteksi', 'dini', 'buta', 'warna', 'gen', 'z', 'gagas', 'nayan', 'project']",10
6 jam yang lalu,"Pramono Panggil Manajemen Ojol, Bahas Solusi Parkir Tak Ganggu Trotoar",https://news.detik.com/berita/d-8545782/pramono-panggil-manajemen-ojol-bahas-solusi-parkir-tak-ganggu-trotoar,News,pramono panggil manajemen ojol bahas solusi parkir tak ganggu trotoar,"['pramono', 'panggil', 'manajemen', 'ojol', 'bahas', 'solusi', 'parkir', 'tak', 'ganggu', 'trotoar']",10
6 jam yang lalu,"Bak Truk Nyangkut Kabel Listrik di Ciputat, Lalin Macet",https://news.detik.com/berita/d-8545777/bak-truk-nyangkut-kabel-listrik-di-ciputat-lalin-macet,News,bak truk nyangkut kabel listrik ciputat lalin macet,"['bak', 'truk', 'nyangkut', 'kabel', 'listrik', 'ciputat', 'lalin', 'macet']",8
6 jam yang lalu,"Cara Dapat Alat Bantu Penyandang Disabilitas Gratis, Ini Syaratnya",https://news.detik.com/berita/d-8545776/cara-dapat-alat-bantu-penyandang-disabilitas-gratis-ini-syaratnya,News,cara alat bantu sandang disabilitas gratis syarat,"['cara', 'alat', 'bantu', 'sandang', 'disabilitas', 'gratis', 'syarat']",7
6 jam yang lalu,Satgas PRR Siapkan Dua Lokasi Huntap untuk Penyintas di Padang Pariaman,https://news.detik.com/berita/d-8545774/satgas-prr-siapkan-dua-lokasi-huntap-untuk-penyintas-di-padang-pariaman,News,satgas prr siap lokasi huntap sintas padang pariaman,"['satgas', 'prr', 'siap', 'lokasi', 'huntap', 'sintas', 'padang', 'pariaman']",8
6 jam yang lalu,"Pramono Bangun 11 Rusun Baru Tahun Depan, Dorong Hunian Vertikal di Jakarta",https://news.detik.com/berita/d-8545772/pramono-bangun-11-rusun-baru-tahun-depan-dorong-hunian-vertikal-di-jakarta,News,pramono bangun rusun baru tahun depan dorong huni vertikal jakarta,"['pramono', 'bangun', 'rusun', 'baru', 'tahun', 'depan', 'dorong', 'huni', 'vertikal', 'jakarta']",10
6 jam yang lalu,"TASPEN Puji Pengembalian Dana Hasil Rampasan Negara Rp 153,6 M dari KPK",https://news.detik.com/berita/d-8545770/taspen-puji-pengembalian-dana-hasil-rampasan-negara-rp-153-6-m-dari-kpk,News,taspen puji kembali dana hasil rampas negara rp m kpk,"['taspen', 'puji', 'kembali', 'dana', 'hasil', 'rampas', 'negara', 'rp', 'm', 'kpk']",10
6 jam yang lalu,PPKGBK Target Pengosongan Barang Hotel Sultan Selesai Sebulan,https://news.detik.com/berita/d-8545768/ppkgbk-target-pengosongan-barang-hotel-sultan-selesai-sebulan,News,ppkgbk target kosong barang hotel sultan selesai bulan,"['ppkgbk', 'target', 'kosong', 'barang', 'hotel', 'sultan', 'selesai', 'bulan']",8
